rep,id,fM1,theta_1,fM2,theta_2,group
1,1,1.51508344630613,0.1265272691649031,1.50359553811557,6.35212331733812,simulationGroup1
1,2,3.88985788163376,0.3193916825575489,0.4282251418705286,6.72847164254952,simulationGroup1
1,3,0.6445531533262115,0.1162319972315095,2.06523182709702,6.60898733453668,simulationGroup1
1,4,16.458501562421,0.386428413863401,0.5120566283445303,4.62055078788268,simulationGroup1
1,5,0.4419572242444805,0.4238763619976151,2.36950067014507,4.85411267461172,simulationGroup1
1,6,1.12071599288845,0.0161078337269215,1.01762637693381,5.94910248134252,simulationGroup1
1,7,1.58819377419577,0.6309426835011066,3.70812846251089,7.04075539519337,simulationGroup1
1,8,1.62826669635204,0.4025853985549733,0.5843254786699367,8.90911072450402,simulationGroup1
1,9,0.0139904334090712,0.1358210766332652,1.6243092402024,9.21822875380414,simulationGroup1
1,10,0.2125303619342278,0.6851876628382202,2.9075993635269,9.88603709855438,simulationGroup1
1,11,1.36836171405605,2.02168259175621,0.4572272853746121,9.14599048714518,simulationGroup1
1,12,3.6463629333455,1.08914513353416,0.9614170896446483,5.12106825744748,simulationGroup1
1,13,0.9162832578273169,0.6317693782605093,1.88371463706804,4.68389505052798,simulationGroup1
1,14,0.043900679427724,0.5402529172956089,2.88729975698363,7.08279075602616,simulationGroup1
1,15,4.9295760155983,0.2821575048373332,4.74386695057757,6.83603389420299,simulationGroup1
1,16,0.7328814990221973,0.1824355818427209,1.18659277946073,5.9192176198621,simulationGroup1
1,17,10.1739597861148,0.2022359529205216,0.9685498329056035,6.91468758546743,simulationGroup1
1,18,4.63533437082801,2.56098972195071,0.9233292070599274,5.75986221273478,simulationGroup1
1,19,0.5513866074960606,1.23122132750966,4.75350038251299,8.40754405687827,simulationGroup1
1,20,0.2197277394409357,0.1473516773419351,2.60683399784897,4.24263513213608,simulationGroup1
1,21,0.3469804234876743,0.4046053719323283,8.474491796816,5.07323933775979,simulationGroup1
1,22,0.2278241707032506,0.5237114090237005,3.73988929905648,5.09276736673808,simulationGroup1
1,23,0.0536423359982881,0.1800051711897291,1.68852788216431,7.77884974861678,simulationGroup1
